District,Count
Chengalpattu,24
Chennai,67
Kanchipuram,9
Thiruvallur,26
Villupuram,18
Cuddalore,21
Madurai,22
Dindigul,18
Theni,16
Sivagangai,17
Ramanathapuram,16
Salem,24
Kallakurichi,18
Karur,11
Namakkal,17
Thiruvannamalai,23
Tiruchirappalli,22
Mayiladuthurai,8
Nagapattinam,8
Thiruvarur,14
Thanjavur,15
Ariyalur,8
Perambalur,8
Pudukkottai,23
Tirunelveli,17
Thoothukudi,20
Tenkasi,17
Kanyakumari,15
Virudhunagar,19
Krishnagiri,13
Dharmapuri,10
Ranipet,13
Tirupathur,11
Vellore,13
Coimbatore,25
Tiruppur,21
Erode,22
The Nilgiris,11
